1    Martin_Luther_King,_Jr._adj.txtENFJ                    38
2    Nelson_Mandela_adj.txt        ENFJ                    43
3    John_Paul_II_adj.txt          ENFJ                    56
4    Johann_von_Goethe_adj.txt     ENFJ                    37
5    Sheryl_Sandberg_adj.txt       ENFJ                    15
6    Pericles_adj.txt              ENFJ                    39
7    Cicero_adj.txt                ENFJ                    60
8    Erasmus_of_Rotterdam_adj.txt  ENFJ                    65
9    Mikhail_Gorbachev_adj.txt     ENFJ                    31
10    Vaclav_Havel_adj.txt          ENFJ                    24
11    Joe_Biden_adj.txt             ENFJ                    35
12    Tony_Blair_adj.txt            ENFJ                    49
13    Matthieu_Ricard_adj.txt       ENFJ                    12
14    Daniel_Goleman_adj.txt        ENFJ                    18
15    Alfred_Adler_adj.txt          ENFJ                    42
16    Erich_Fromm_adj.txt           ENFJ                    44
17    Neil_deGrasse_Tyson_adj.txt   ENFJ                    30
18    Michael_Moore_adj.txt         ENFJ                    24
19    Oprah_Winfrey_adj.txt         ENFJ                    35
20    Charlie_Rose_adj.txt          ENFJ                    10
21    Morgan_Freeman_adj.txt        ENFJ                    21
22    Bono_adj.txt                  ENFJ                    34
23    Reese_Witherspoon_adj.txt     ENFJ                    29
24    Kate_Winslet_adj.txt          ENFJ                    59
25    Helena_Bonham_Carter_adj.txt  ENFJ                    18
26    Nigella_Lawson_adj.txt        ENFJ                    41
27    Jennifer_Lawrence_adj.txt     ENFJ                    17
28    Dakota_Fanning_adj.txt        ENFJ                    10
29    Emma_Stone_adj.txt            ENFJ                    6
30    AnnaSophia_Robb_adj.txt       ENFJ                    13
31    Zack_de_la_Rocha_adj.txt      ENFJ                    20
32    James_Lipton_adj.txt          ENFJ                    36
33    Dr._Drew_adj.txt              ENFJ                    11
