1    Jacqueline_Kennedy_Onassis_adj.txtISFP                    20
2    Ulysses_S._Grant_adj.txt      ISFP                    58
3    Jonathan_Ive_adj.txt          ISFP                    17
4    Joern_Utzon_adj.txt           ISFP                    15
5    Thich_Nhat_Hanh_adj.txt       ISFP                    26
6    Nero_adj.txt                  ISFP                    25
7    Leni_Riefenstahl_adj.txt      ISFP                    51
8    Brad_Pitt_adj.txt             ISFP                    33
9    Justin_Timberlake_adj.txt     ISFP                    20
10    David_Beckham_adj.txt         ISFP                    33
11    Ryan_Gosling_adj.txt          ISFP                    28
12    Audrey_Hepburn_adj.txt        ISFP                    31
13    Elizabeth_Taylor_adj.txt      ISFP                    53
14    Nicole_Kidman_adj.txt         ISFP                    27
15    Sofia_Coppola_adj.txt         ISFP                    12
16    Michael_Jackson_adj.txt       ISFP                    63
17    Prince_adj.txt                ISFP                    30
18    Bob_Dylan_adj.txt             ISFP                    59
19    Paul_McCartney_adj.txt        ISFP                    45
20    David_Bowie_adj.txt           ISFP                    63
21    Lady_Gaga_adj.txt             ISFP                    37
22    Eminem_adj.txt                ISFP                    23
23    Frank_Ocean_adj.txt           ISFP                    25
24    Princess_Diana_adj.txt        ISFP                    38
25    Marilyn_Monroe_adj.txt        ISFP                    38
26    Britney_Spears_adj.txt        ISFP                    38
27    Paris_Hilton_adj.txt          ISFP                    34
28    Rihanna_adj.txt               ISFP                    21
29    Christina_Aguilera_adj.txt    ISFP                    29
30    Monica_Bellucci_adj.txt       ISFP                    18
31    Dita_von_Teese_adj.txt        ISFP                    38
32    Mick_Jagger_adj.txt           ISFP                    46
33    Keith_Richards_adj.txt        ISFP                    45
34    Jimi_Hendrix_adj.txt          ISFP                    45
35    Andrew_Bird_adj.txt           ISFP                    11
36    David_Gilmour_adj.txt         ISFP                    42
37    Kate_Bush_adj.txt             ISFP                    61
38    Trent_Reznor_adj.txt          ISFP                    31
39    Skrillex_adj.txt              ISFP                    8
40    Drew_Barrymore_adj.txt        ISFP                    28
41    Leona_Lewis_adj.txt           ISFP                    12
42    John_Travolta_adj.txt         ISFP                    8
43    Zac_Efron_adj.txt             ISFP                    17
44    Liv_Tyler_adj.txt             ISFP                    18
45    Pamela_Anderson_adj.txt       ISFP                    37
46    Prince_Harry_adj.txt          ISFP                    11
47    Prince_Frederik_adj.txt       ISFP                    12
48    Enya_adj.txt                  ISFP                    7
